model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 A1,2014,10000.0,Manual,28324.0,Petrol,125.0,53.3,1.4
 A1,2016,14500.0,Manual,12100.0,Petrol,30.0,56.5,1.4
 Q3,2017,16100.0,Manual,18001.0,Diesel,145.0,62.8,2.0
 A1,2016,10600.0,Manual,28760.0,Petrol,30.0,55.4,1.4
 A3,2019,25499.0,Semi-Auto,4000.0,Petrol,145.0,44.1,1.5
 Q2,2019,25499.0,Semi-Auto,7897.0,Diesel,145.0,47.9,2.0
 A6,2016,15500.0,Automatic,24744.0,Diesel,125.0,56.5,3.0
 Q3,2015,16200.0,Automatic,30075.0,Diesel,160.0,51.4,2.0
 A1,2017,14000.0,Manual,12577.0,Petrol,30.0,58.9,1.4
 A6,2016,17300.0,Automatic,24421.0,Diesel,30.0,61.4,2.0
 A1,2016,10600.0,Manual,15567.0,Diesel,0.0,76.3,1.6
 A4,2018,17500.0,Manual,15207.0,Petrol,145.0,51.4,1.4
 A4,2017,15000.0,Manual,14864.0,Petrol,145.0,52.3,1.4
 A4,2019,25499.0,Semi-Auto,9000.0,Petrol,145.0,38.7,2.0
 A4,2019,25000.0,Manual,5000.0,Petrol,145.0,38.7,2.0
 Q2,2019,31000.0,Semi-Auto,4264.0,Petrol,145.0,33.2,2.0
 Q3,2019,28000.0,Manual,4000.0,Diesel,145.0,42.8,2.0
 Q3,2019,28000.0,Manual,4000.0,Petrol,145.0,42.2,1.5
 Q2,2019,21499.0,Manual,2721.0,Diesel,145.0,49.6,1.6
 Q2,2019,26000.0,Semi-Auto,4000.0,Petrol,145.0,42.2,1.5
 Q5,2016,30000.0,Semi-Auto,49649.0,Diesel,235.0,42.2,3.0
 A4,2017,17000.0,Manual,14068.0,Petrol,145.0,51.4,1.4
 A4,2017,14500.0,Manual,23092.0,Petrol,145.0,52.3,1.4
 Q3,2017,17500.0,Automatic,30682.0,Diesel,160.0,50.4,2.0
 A1,2016,10500.0,Manual,18272.0,Petrol,0.0,67.3,1.0
 Q2,2017,14800.0,Automatic,23714.0,Diesel,145.0,68.9,1.6
 A6,2016,12000.0,Automatic,71311.0,Diesel,30.0,61.4,2.0
 A6,2018,22000.0,Automatic,29477.0,Diesel,145.0,61.4,2.0
 Q5,2016,17800.0,Automatic,60551.0,Diesel,200.0,47.1,2.0
 A6,2017,19800.0,Automatic,42071.0,Diesel,30.0,61.4,2.0
 A7,2014,19500.0,Automatic,55774.0,Diesel,235.0,44.8,3.0
 A1,2016,9800.0,Manual,36462.0,Diesel,0.0,76.3,1.6
 A3,2016,15500.0,Manual,25376.0,Petrol,30.0,57.6,1.4
 A4,2017,16800.0,Automatic,39388.0,Diesel,145.0,67.3,2.0
 A3,2017,11500.0,Manual,64207.0,Diesel,20.0,67.3,2.0
 A1,2017,12100.0,Manual,49221.0,Petrol,145.0,55.4,1.4
 A1,2017,12700.0,Manual,27179.0,Diesel,0.0,76.3,1.6
 A4,2014,11700.0,Manual,31376.0,Diesel,125.0,58.9,2.0
 A5,2015,11500.0,Automatic,62668.0,Diesel,145.0,53.3,2.0
 A4,2017,17400.0,Manual,10001.0,Petrol,145.0,51.4,1.4
 A6,2016,16000.0,Automatic,52544.0,Diesel,30.0,61.4,2.0
 A4,2016,13100.0,Manual,63097.0,Petrol,125.0,49.6,2.0
 A6,2016,14700.0,Manual,72967.0,Diesel,30.0,61.4,2.0
 A5,2017,21100.0,Automatic,32771.0,Diesel,145.0,70.6,2.0
 Q3,2018,24400.0,Automatic,13303.0,Petrol,145.0,40.4,2.0
 A3,2019,18750.0,Manual,2752.0,Petrol,145.0,44.8,1.5
 Q3,2016,16500.0,Manual,23307.0,Diesel,160.0,49.6,2.0
 A1,2017,11000.0,Manual,34551.0,Petrol,150.0,67.3,1.0
 A3,2017,13400.0,Manual,25457.0,Diesel,150.0,68.9,1.6
 Q2,2018,20000.0,Manual,12167.0,Petrol,150.0,50.4,1.4
 A6,2015,15400.0,Automatic,23237.0,Diesel,20.0,67.3,2.0
 Q3,2016,15500.0,Automatic,11863.0,Diesel,160.0,50.4,2.0
 A4,2017,14800.0,Manual,21225.0,Diesel,145.0,72.4,2.0
 A6,2015,17100.0,Automatic,32083.0,Diesel,30.0,61.4,2.0
 Q5,2017,25750.0,Automatic,17039.0,Diesel,145.0,55.4,2.0
 A4,2016,11750.0,Manual,72026.0,Diesel,0.0,74.3,2.0
 A1,2017,11200.0,Manual,34824.0,Petrol,0.0,67.3,1.0
 A1,2017,12800.0,Manual,20351.0,Petrol,30.0,55.4,1.4
 A4,2017,16000.0,Automatic,58028.0,Petrol,145.0,52.3,2.0
 A5,2017,20000.0,Automatic,44783.0,Diesel,145.0,62.8,2.0
 A4,2014,11950.0,Manual,60604.0,Diesel,20.0,67.3,2.0
 A4,2013,9400.0,Manual,39998.0,Diesel,30.0,65.7,2.0
 A4,2017,20000.0,Automatic,20852.0,Diesel,30.0,65.7,2.0
 A6,2016,13300.0,Manual,79728.0,Diesel,30.0,64.2,2.0
 A6,2017,18500.0,Automatic,29095.0,Diesel,20.0,64.2,2.0
 A3,2013,8300.0,Manual,98940.0,Diesel,0.0,74.3,1.6
 A1,2016,13500.0,Manual,22780.0,Petrol,30.0,58.9,1.4
 A5,2018,19800.0,Manual,20832.0,Petrol,150.0,47.1,2.0
 Q3,2016,15400.0,Automatic,29196.0,Diesel,145.0,55.4,2.0
 A4,2017,13900.0,Manual,14392.0,Petrol,145.0,53.3,1.4
 A4,2018,15600.0,Manual,20070.0,Petrol,145.0,52.3,1.4
 A6,2016,16200.0,Automatic,89334.0,Diesel,30.0,62.8,3.0
 A1,2016,10600.0,Manual,21428.0,Petrol,0.0,67.3,1.0
 A4,2016,14300.0,Manual,45485.0,Diesel,20.0,70.6,2.0
 Q3,2016,14700.0,Manual,32704.0,Diesel,30.0,60.1,2.0
 Q3,2018,19100.0,Automatic,42209.0,Petrol,145.0,42.2,2.0
 A4,2017,18100.0,Manual,17278.0,Petrol,145.0,48.7,1.4
 A1,2017,11400.0,Manual,29515.0,Petrol,0.0,67.3,1.0
 A3,2014,11600.0,Manual,43662.0,Diesel,20.0,67.3,2.0
 A4,2017,17300.0,Automatic,45225.0,Diesel,145.0,62.8,2.0
 A6,2017,16400.0,Manual,45491.0,Diesel,30.0,61.4,2.0
 Q5,2014,17100.0,Manual,52267.0,Petrol,235.0,37.7,2.0
 A3,2014,11498.0,Semi-Auto,40807.0,Petrol,125.0,50.4,1.8
 Q3,2014,11698.0,Manual,65959.0,Diesel,160.0,49.6,2.0
 Q5,2014,18998.0,Semi-Auto,47648.0,Petrol,260.0,35.8,2.0
 Q5,2017,25498.0,Semi-Auto,27948.0,Petrol,145.0,40.9,2.0
 A4,2013,10498.0,Manual,31169.0,Petrol,145.0,49.6,1.8
 A4,2013,9498.0,Automatic,42011.0,Petrol,145.0,47.1,2.0
 A6,2015,19998.0,Semi-Auto,56115.0,Diesel,160.0,50.4,3.0
 A6,2015,16798.0,Semi-Auto,65835.0,Diesel,125.0,61.4,2.0
 A6,2017,23998.0,Semi-Auto,63383.0,Diesel,145.0,45.6,3.0
 Q5,2017,36998.0,Semi-Auto,34011.0,Petrol,145.0,34.0,3.0
 A5,2014,13998.0,Semi-Auto,52132.0,Diesel,160.0,49.6,3.0
 A4,2015,15995.0,Manual,38787.0,Diesel,145.0,55.4,2.0
 A1,2017,13495.0,Manual,34554.0,Petrol,150.0,55.4,1.4
 Q5,2017,30985.0,Semi-Auto,17502.0,Petrol,145.0,40.4,2.0
 TT,2019,29485.0,Automatic,3000.0,Petrol,145.0,40.9,2.0
 A6,2015,16985.0,Manual,34646.0,Diesel,30.0,61.4,2.0
 Q5,2017,26485.0,Semi-Auto,18000.0,Diesel,150.0,56.5,2.0
 Q3,2018,23985.0,Semi-Auto,17085.0,Petrol,150.0,47.9,1.4
 A1,2017,12485.0,Manual,48166.0,Diesel,20.0,72.4,1.6
 Q5,2015,22485.0,Semi-Auto,38421.0,Diesel,205.0,47.1,2.0
 A5,2015,16498.0,Manual,46637.0,Diesel,30.0,61.4,2.0
 A3,2016,11998.0,Manual,24468.0,Diesel,0.0,74.3,1.6
 Q5,2017,24985.0,Automatic,29343.0,Diesel,200.0,47.1,2.0
 A3,2019,17985.0,Manual,8449.0,Diesel,145.0,51.4,1.6
 A5,2017,20485.0,Manual,34679.0,Diesel,30.0,65.7,2.0
 A3,2018,16985.0,Semi-Auto,23860.0,Petrol,145.0,60.1,1.0
 A4,2018,30985.0,Automatic,21009.0,Petrol,145.0,35.8,3.0
 A6,2019,29985.0,Automatic,1881.0,Diesel,145.0,47.9,2.0
 A6,2019,27985.0,Semi-Auto,688.0,Diesel,145.0,47.9,2.0
 A6,2019,30985.0,Automatic,1863.0,Diesel,145.0,47.9,2.0
 Q7,2020,62985.0,Semi-Auto,10.0,Diesel,145.0,33.2,3.0
 RS6,2016,44985.0,Semi-Auto,49050.0,Petrol,325.0,29.4,4.0
 A4,2019,28985.0,Semi-Auto,1024.0,Petrol,145.0,38.7,2.0
 A4,2019,24985.0,Semi-Auto,448.0,Petrol,145.0,39.8,2.0
 A4,2019,26985.0,Semi-Auto,476.0,Petrol,145.0,39.2,2.0
 A7,2019,39985.0,Automatic,5201.0,Diesel,145.0,38.7,3.0
 A3,2019,21985.0,Semi-Auto,2028.0,Petrol,145.0,42.2,1.5
 A6,2019,45485.0,Automatic,3241.0,Diesel,145.0,39.2,3.0
 Q5,2019,33985.0,Automatic,355.0,Diesel,145.0,39.2,2.0
 A5,2019,28985.0,Automatic,18.0,Petrol,145.0,39.8,2.0
 A3,2019,29985.0,Automatic,3122.0,Petrol,145.0,41.5,1.5
 Q2,2019,28985.0,Manual,824.0,Petrol,145.0,40.9,1.5
 A6,2019,31985.0,Semi-Auto,2811.0,Diesel,145.0,47.9,2.0
 A6,2019,31985.0,Semi-Auto,27.0,Diesel,145.0,50.4,2.0
 A4,2019,29485.0,Semi-Auto,4254.0,Petrol,145.0,38.2,2.0
 A1,2019,17985.0,Semi-Auto,2252.0,Petrol,145.0,48.7,1.0
 Q2,2019,20985.0,Automatic,3422.0,Diesel,145.0,47.9,1.6
 Q2,2019,23685.0,Automatic,37.0,Diesel,145.0,47.9,1.6
 A4,2019,27985.0,Semi-Auto,7299.0,Petrol,145.0,38.2,2.0
 Q2,2019,27985.0,Semi-Auto,1414.0,Petrol,145.0,40.9,1.5
 Q5,2019,36985.0,Automatic,5135.0,Diesel,145.0,38.2,2.0
 Q5,2019,37985.0,Automatic,6024.0,Diesel,145.0,38.2,2.0
 Q5,2020,37985.0,Semi-Auto,10.0,Petrol,145.0,32.1,2.0
 Q7,2019,49985.0,Automatic,10.0,Diesel,145.0,33.2,3.0
 Q7,2019,59995.0,Automatic,10.0,Diesel,145.0,33.2,3.0
 Q5,2020,47895.0,Semi-Auto,10.0,Petrol,145.0,30.7,2.0
 A4,2020,31985.0,Semi-Auto,10.0,Petrol,145.0,42.2,2.0
 Q7,2015,29985.0,Automatic,47606.0,Diesel,200.0,47.9,3.0
 A1,2015,12485.0,Semi-Auto,26625.0,Petrol,30.0,57.6,1.4
 A5,2018,24985.0,Automatic,5071.0,Petrol,145.0,50.4,2.0
 A5,2015,21985.0,Semi-Auto,28011.0,Petrol,260.0,34.9,3.0
 Q3,2019,34985.0,Automatic,10.0,Diesel,145.0,47.1,2.0
 A5,2019,29985.0,Automatic,10.0,Diesel,145.0,51.4,2.0
 Q3,2019,34485.0,Automatic,10.0,Diesel,145.0,47.1,2.0
 A1,2019,19685.0,Manual,10.0,Petrol,145.0,49.6,1.0
 A4,2019,34985.0,Automatic,10.0,Diesel,145.0,53.3,2.0
 A7,2019,43885.0,Semi-Auto,10.0,Diesel,145.0,38.2,3.0
 A6,2019,35895.0,Automatic,2000.0,Diesel,145.0,47.9,2.0
 Q2,2019,26985.0,Automatic,10.0,Petrol,145.0,43.5,1.5
 A6,2019,46985.0,Automatic,3510.0,Diesel,145.0,36.2,3.0
 A3,2019,23985.0,Automatic,10.0,Petrol,145.0,44.8,1.5
 A5,2019,28985.0,Automatic,10.0,Petrol,145.0,39.8,2.0
 A5,2019,27985.0,Automatic,1010.0,Petrol,145.0,39.8,2.0
 A6,2019,28985.0,Semi-Auto,500.0,Diesel,145.0,47.9,2.0
 A4,2019,29985.0,Automatic,10.0,Petrol,145.0,42.8,2.0
 A3,2019,21995.0,Manual,10.0,Diesel,145.0,54.3,1.6
 A5,2019,31985.0,Automatic,10.0,Petrol,145.0,39.8,2.0
 A5,2019,32485.0,Automatic,10.0,Diesel,145.0,51.4,2.0
 A3,2019,21285.0,Manual,10.0,Diesel,145.0,51.4,1.6
 Q7,2019,56985.0,Automatic,1510.0,Diesel,145.0,33.2,3.0
 RS3,2019,43785.0,Semi-Auto,10.0,Petrol,145.0,30.1,2.5
 A4,2016,18498.0,Semi-Auto,29845.0,Petrol,160.0,45.6,2.0
 A3,2014,14995.0,Semi-Auto,27355.0,Petrol,160.0,42.8,1.8
 A4,2016,17998.0,Manual,20885.0,Diesel,30.0,64.2,2.0
 A3,2014,10985.0,Automatic,10534.0,Petrol,30.0,56.5,1.2
 A3,2016,12995.0,Manual,25895.0,Diesel,20.0,70.6,2.0
 A1,2016,11495.0,Manual,32867.0,Petrol,0.0,67.3,1.0
 Q5,2015,18295.0,Semi-Auto,42793.0,Diesel,205.0,47.1,2.0
 A6,2015,18998.0,Semi-Auto,49039.0,Diesel,160.0,50.4,3.0
 Q2,2017,18485.0,Manual,22501.0,Diesel,145.0,64.2,1.6
 A8,2017,38985.0,Automatic,1420.0,Diesel,145.0,50.4,3.0
 A5,2019,29485.0,Automatic,10.0,Petrol,145.0,40.4,2.0
 A5,2017,22998.0,Semi-Auto,26939.0,Diesel,145.0,62.8,2.0
 A8,2014,18998.0,Semi-Auto,24786.0,Diesel,205.0,47.9,3.0
 A4,2017,17698.0,Manual,18761.0,Petrol,145.0,51.4,1.4
 A5,2019,27995.0,Automatic,10.0,Petrol,145.0,40.4,2.0
 Q3,2019,31985.0,Manual,10.0,Diesel,145.0,42.8,2.0
 A4,2019,30995.0,Automatic,10.0,Petrol,145.0,38.7,2.0
 A3,2017,18998.0,Semi-Auto,22295.0,Petrol,30.0,56.5,1.4
 Q2,2017,16995.0,Manual,18068.0,Petrol,145.0,52.3,1.4
 A3,2018,19995.0,Manual,25000.0,Petrol,150.0,42.2,1.5
 Q2,2017,14495.0,Manual,23043.0,Petrol,150.0,55.4,1.0
 A5,2014,12998.0,Semi-Auto,80902.0,Diesel,125.0,60.1,2.0
 A4,2019,32485.0,Automatic,10.0,Diesel,145.0,50.4,2.0
 A1,2019,20485.0,Manual,10.0,Petrol,145.0,48.7,1.0
 Q3,2019,34485.0,Automatic,10.0,Diesel,145.0,47.1,2.0
 Q3,2016,18698.0,Manual,26474.0,Diesel,145.0,52.3,2.0
 Q5,2013,15998.0,Semi-Auto,65458.0,Diesel,235.0,44.1,3.0
 TT,2018,16498.0,Manual,34170.0,Petrol,150.0,47.1,1.8
 Q5,2019,31998.0,Semi-Auto,100.0,Petrol,145.0,33.2,2.0
 Q3,2019,35985.0,Automatic,650.0,Diesel,145.0,47.1,2.0
 Q5,2019,37985.0,Automatic,10.0,Diesel,145.0,38.2,2.0
 Q5,2019,31998.0,Semi-Auto,10.0,Petrol,145.0,33.2,2.0
 A4,2019,18998.0,Manual,2928.0,Petrol,145.0,41.5,2.0
 Q3,2018,19485.0,Manual,7157.0,Petrol,145.0,51.4,1.4
 Q3,2016,19995.0,Semi-Auto,31600.0,Diesel,160.0,50.4,2.0
 Q7,2016,47995.0,Semi-Auto,46600.0,Diesel,300.0,39.2,4.0
 A3,2019,23485.0,Manual,10.0,Diesel,145.0,56.5,2.0
 A5,2018,23998.0,Semi-Auto,14078.0,Petrol,145.0,45.6,2.0
 A5,2015,17998.0,Manual,13312.0,Diesel,125.0,57.6,2.0
 A6,2018,28985.0,Semi-Auto,10.0,Diesel,145.0,50.4,2.0
 RS6,2015,46000.0,Semi-Auto,20982.0,Petrol,325.0,29.4,4.0
 A6,2018,26995.0,Semi-Auto,15600.0,Diesel,145.0,50.4,2.0
 A6,2019,33985.0,Automatic,5429.0,Diesel,145.0,47.9,2.0
 Q2,2019,30985.0,Automatic,2710.0,Petrol,145.0,40.9,1.5
 Q7,2019,52985.0,Automatic,6423.0,Diesel,145.0,33.2,3.0
 A1,2017,12698.0,Manual,11017.0,Petrol,150.0,67.3,1.0
 Q3,2017,17298.0,Manual,16908.0,Petrol,125.0,51.4,1.4
 A4,2017,16498.0,Manual,28801.0,Petrol,125.0,49.6,2.0
 A4,2017,16798.0,Manual,23362.0,Petrol,145.0,50.4,1.4
 Q5,2013,15998.0,Manual,50025.0,Petrol,235.0,37.7,2.0
 Q8,2018,63985.0,Semi-Auto,8450.0,Diesel,145.0,32.8,3.0
 A6,2018,27985.0,Semi-Auto,1790.0,Diesel,145.0,50.4,2.0
 A4,2018,19485.0,Semi-Auto,10.0,Petrol,145.0,53.3,1.4
 A4,2018,20985.0,Manual,10.0,Petrol,145.0,52.3,1.4
 A3,2018,22285.0,Automatic,6754.0,Diesel,145.0,52.3,1.6
 Q3,2014,14500.0,Semi-Auto,35423.0,Diesel,200.0,47.9,2.0
 A3,2017,25000.0,Semi-Auto,16703.0,Petrol,200.0,41.5,2.0
 Q3,2017,15800.0,Manual,37203.0,Petrol,125.0,51.4,1.4
 A3,2013,13500.0,Semi-Auto,44405.0,Diesel,125.0,58.9,2.0
 Q3,2014,12000.0,Manual,79389.0,Diesel,165.0,50.4,2.0
 A3,2015,13800.0,Semi-Auto,61808.0,Diesel,125.0,57.6,2.0
 A1,2016,11000.0,Manual,10491.0,Petrol,0.0,67.3,1.0
 A3,2018,19995.0,Manual,19000.0,Petrol,150.0,49.6,2.0
 A1,2016,11650.0,Manual,18900.0,Petrol,0.0,67.3,1.0
 A3,2014,11850.0,Manual,50900.0,Diesel,20.0,68.9,2.0
 A6,2013,12495.0,Manual,49000.0,Diesel,325.0,29.7,2.0
 A1,2015,15995.0,Manual,23081.0,Petrol,235.0,39.8,2.0
 Q7,2020,82995.0,Semi-Auto,826.0,Diesel,145.0,29.4,4.0
 A4,2019,25990.0,Semi-Auto,5987.0,Petrol,145.0,38.2,2.0
 A6,2019,30995.0,Semi-Auto,2977.0,Diesel,145.0,47.9,2.0
 Q5,2019,34985.0,Automatic,7573.0,Diesel,145.0,39.2,2.0
 Q3,2019,31995.0,Manual,3055.0,Diesel,145.0,42.8,2.0
 A4,2019,29985.0,Automatic,22.0,Petrol,145.0,38.7,2.0
 A4,2019,28485.0,Automatic,2250.0,Diesel,145.0,51.4,2.0
 Q5,2016,21498.0,Semi-Auto,20547.0,Diesel,200.0,47.1,2.0
 Q5,2019,32895.0,Automatic,10.0,Diesel,145.0,39.2,2.0
 A5,2016,22998.0,Semi-Auto,18828.0,Petrol,260.0,35.8,3.0
 Q5,2019,35998.0,Semi-Auto,28.0,Petrol,145.0,32.1,2.0
 Q7,2016,29985.0,Automatic,38654.0,Diesel,200.0,47.9,3.0
 A3,2014,16485.0,Manual,25764.0,Petrol,200.0,40.4,2.0
 TT,2016,19485.0,Manual,28402.0,Diesel,30.0,62.8,2.0
 A1,2015,13495.0,Manual,17152.0,Petrol,30.0,56.5,1.4
 A3,2016,14995.0,Manual,29775.0,Petrol,20.0,60.1,1.4
 Q5,2017,39995.0,Semi-Auto,7801.0,Petrol,145.0,34.0,3.0
 Q5,2015,22990.0,Semi-Auto,60599.0,Diesel,240.0,42.8,3.0
 A1,2017,12495.0,Manual,20670.0,Petrol,30.0,57.6,1.4
 A3,2019,24985.0,Automatic,2257.0,Diesel,145.0,52.3,1.6
 A3,2019,24485.0,Manual,4039.0,Diesel,145.0,51.4,1.6
 A3,2016,16485.0,Manual,21241.0,Petrol,125.0,52.3,1.4
 Q3,2016,20485.0,Manual,16945.0,Diesel,160.0,49.6,2.0
 A4,2018,24985.0,Automatic,18010.0,Petrol,145.0,49.6,1.4
 A4,2017,19995.0,Semi-Auto,29653.0,Diesel,145.0,62.8,2.0
 A5,2014,16000.0,Semi-Auto,75159.0,Petrol,260.0,34.9,3.0
 Q3,2014,14998.0,Semi-Auto,33842.0,Diesel,200.0,47.9,2.0
 A3,2015,13995.0,Manual,42977.0,Diesel,20.0,67.3,2.0
 A4,2019,27990.0,Semi-Auto,26.0,Diesel,145.0,47.9,2.0
 A1,2016,11995.0,Manual,17454.0,Petrol,0.0,67.3,1.0
 A3,2018,15995.0,Manual,17547.0,Petrol,150.0,56.5,1.5
 A3,2020,35995.0,Semi-Auto,314.0,Petrol,150.0,34.9,2.0
 A1,2016,13585.0,Manual,25010.0,Petrol,30.0,58.9,1.4
 A6,2019,31985.0,Semi-Auto,3278.0,Diesel,145.0,47.9,2.0
 A7,2019,32985.0,Automatic,1285.0,Diesel,145.0,39.2,3.0
 A6,2019,30985.0,Automatic,4445.0,Diesel,145.0,47.9,2.0
 A4,2020,34798.0,Semi-Auto,6998.0,Petrol,145.0,38.2,2.0
